🇨🇳 央视频道,#genre#
CGTN阿拉语高清,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226281/1/index.m3u8?fmt=ts2hls
CGTN俄语高清,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226278/1/index.m3u8?fmt=ts2hls
CGTN法语高清,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226265/1/index.m3u8?fmt=ts2hls
CGTN纪录,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226271/1/index.m3u8?fmt=ts2hls
中国教育1,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls
浙江卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225750/1/index.m3u8?fmt=ts2hls
江苏卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225751/1/index.m3u8?fmt=ts2hls
北京卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225754/1/index.m3u8?fmt=ts2hls
东方卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225752/1/index.m3u8?fmt=ts2hls
安徽卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225716/1/index.m3u8?fmt=ts2hls
广东卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225720/1/index.m3u8?fmt=ts2hls
深圳卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225712/1/index.m3u8?fmt=ts2hls
东南卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225739/1/index.m3u8?fmt=ts2hls
辽宁卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225717/1/index.m3u8?fmt=ts2hls
山东卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls
天津卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225756/1/index.m3u8?fmt=ts2hls
重庆卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225686/1/index.m3u8?fmt=ts2hls
贵州卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225703/1/index.m3u8?fmt=ts2hls
河北卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225713/1/index.m3u8?fmt=ts2hls
黑龙江卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225758/1/index.m3u8?fmt=ts2hls
河南卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls
湖北卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225708/1/index.m3u8?fmt=ts2hls
四川卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225757/1/index.m3u8?fmt=ts2hls
江西卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225710/1/index.m3u8?fmt=ts2hls
吉林卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225753/1/index.m3u8?fmt=ts2hls
内蒙古卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225718/1/index.m3u8?fmt=ts2hls
甘肃卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225755/1/index.m3u8?fmt=ts2hls
宁夏卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225719/1/index.m3u8?fmt=ts2hls
云南卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225687/1/index.m3u8?fmt=ts2hls
广西卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225711/1/index.m3u8?fmt=ts2hls
陕西卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225688/1/index.m3u8?fmt=ts2hls
山西卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225730/1/index.m3u8?fmt=ts2hls
海南卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225762/1/index.m3u8?fmt=ts2hls
厦门卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225761/1/index.m3u8?fmt=ts2hls
延边卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225721/1/index.m3u8?fmt=ts2hls
兵团卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225722/1/index.m3u8?fmt=ts2hls
青海卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225760/1/index.m3u8?fmt=ts2hls
新疆卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225759/1/index.m3u8?fmt=ts2hls
西藏卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225668/1/index.m3u8?fmt=ts2hls
农林卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225696/1/index.m3u8?fmt=ts2hls
安多卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225694/1/index.m3u8?fmt=ts2hls
南方卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225738/1/index.m3u8?fmt=ts2hls
康巴卫视,http://39.136.17.147/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225695/1/index.m3u8?fmt=ts2hls

🇨🇳 新闻频道,#genre#
CCTV-13,http://cntv.lat/tv/live.php?auth=231110&id=cctv13HD
Now 新闻,http://38.207.160.104:11012/live.php?date=231119&id=now-news
中天新闻,http://38.207.160.104:11012/live.php?date=231119&id=cti-news
TVBS,http://38.207.160.104:11012/live.php?date=231119&id=tvbs-hd
TVBS新闻,http://38.207.160.104:11012/live.php?date=231119&id=tvbs-news
东森新闻,http://38.207.160.104:11012/live.php?date=231119&id=ebc-news
东森财经,http://38.207.160.104:11012/live.php?date=231119&id=ebc-finance
台视新闻,http://38.207.160.104:11012/live.php?date=231119&id=ttv-news
中视新闻,http://38.207.160.104:11012/live.php?date=231119&id=ctv-news
非凡新闻,http://38.207.160.104:11012/live.php?date=231119&id=ustv-news
寰宇新闻,http://38.207.160.104:11012/live.php?date=231119&id=global-news
年代新闻,http://38.207.160.104:11012/live.php?date=231119&id=era-news
镜新闻,http://38.207.160.104:11012/live.php?date=231119&id=mnews
壹新闻,http://38.207.160.104:11012/live.php?date=231119&id=nexttv
无线新闻,https://s2.pub/Y-20
东森财经新闻,https://s2.pub/Y-22
TVBS新闻,https://s2.pub/Y-30

🇨🇳 电影频道,#genre#
HBO,http://38.207.160.104:11012/live.php?date=231119&id=hbo-hd
HBO Hits,http://38.207.160.104:11012/live.php?date=231119&id=hbo-hits-hd
东森电影,http://38.207.160.104:11012/live.php?date=231119&id=ebc-movie
龙祥时代,http://38.207.160.104:11012/live.php?date=231119&id=lstime
好莱坞电影,http://38.207.160.104:11012/live.php?date=231119&id=hollywood-tw
靖天电影,http://38.207.160.104:11012/live.php?date=231119&id=jtdy
龙华电影,http://38.207.160.104:11012/live.php?date=231119&id=ltv-movies
美亚电影,http://38.207.160.104:11012/live.php?date=231119&id=meiah-movies
纬来电影,http://38.207.160.104:11012/live.php?date=231119&id=videoland-movie
卫视电影台,http://38.207.160.104:11012/live.php?date=231119&id=star-chinese-movies

🇨🇳 港 澳 台,#genre#
凤凰中文,https://s2.pub/Y-10
凤凰资讯,https://s2.pub/Y-11
翡翠台,https://s2.pub/Y-12
J2,https://s2.pub/Y-13
明珠台,https://s2.pub/Y-14
viutv,https://s2.pub/Y-15
viutv6,https://s2.pub/Y-16
HOY TV,https://s2.pub/Y-17
无线财经资讯,https://s2.pub/Y-19
无线新闻,https://s2.pub/Y-20
东森财经新闻,https://s2.pub/Y-22
TVBS新闻,https://s2.pub/Y-30
纬来体育,https://s2.pub/Y-32

🇨🇳 北京地方台,#genre#
北京新闻,http://zgntv.icu/live/bjtime.php?id=bjxw
北京文艺,http://zgntv.icu/live/bjtime.php?id=bjwy
北京影视,http://zgntv.icu/live/bjtime.php?id=bjys
北京财经,http://zgntv.icu/live/bjtime.php?id=bjcj
北京生活,http://zgntv.icu/live/bjtime.php?id=bjsh
北京体育休闲,http://zgntv.icu/live/bjtime.php?id=bjty
北京纪实科教,http://zgntv.icu/live/bjtime.php?id=bjjs
北京卡酷少儿,http://zgntv.icu/live/bjtime.php?id=bjkk

🇨🇳 浙江地方台,#genre#
浙江公共新闻,https://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
